zip_code,val_2022,val_2025,cagr_pct
77535,136921.86,224928.71,17.99
77357,186815.79,290642.12,15.87
77028,103695.34,149531.66,12.98
77026,110624.71,153882.88,11.63
77093,123345.28,167631.01,10.77
77039,142033.25,191718.62,10.52
77091,190273.47,256724.93,10.5
77011,157530.34,211272.19,10.28
77053,145532.0,194429.38,10.14
77016,116370.44,154923.41,10.01
77032,125202.72,166557.49,9.98
77078,109555.13,145508.87,9.92
77022,168829.84,222997.9,9.72
77012,129624.23,170677.71,9.6
77076,144778.21,188819.67,9.26
77029,109908.45,143150.64,9.21
77037,151443.97,197245.71,9.21
77051,143321.09,185939.99,9.07
77547,111943.66,144835.19,8.97
77050,135178.33,174189.14,8.82
77060,152411.15,195134.37,8.59
77389,451422.39,575982.83,8.46
77088,161289.69,204675.99,8.26
77020,153593.22,194673.94,8.22
77494,299950.89,377929.11,8.01
77377,361480.18,455087.87,7.98
77079,623100.67,783699.39,7.94
77375,330274.96,415012.16,7.91
77031,217262.9,272695.86,7.87
77038,177725.56,222921.41,7.85
77071,220118.91,275911.0,7.82
77587,155567.25,194758.93,7.78
77045,156615.41,196050.44,7.77
77581,350829.03,439098.89,7.77
77489,229764.96,287548.09,7.76
77033,109456.72,136943.3,7.75
77598,249133.0,311621.97,7.75
77013,144256.19,180015.36,7.66
77562,184213.24,229228.78,7.56
77433,377816.97,469609.5,7.52
77085,183006.34,227174.77,7.47
77443,546674.5,676729.0,7.37
77086,182392.51,225585.32,7.34
77520,134918.55,166750.14,7.32
77450,305609.02,377405.52,7.29
77048,162349.96,200441.81,7.28
77506,123853.78,152738.88,7.24
77503,162504.91,200363.44,7.23
77094,501218.37,617532.58,7.2
77339,271970.18,334688.5,7.16
77018,506069.68,622210.16,7.13
77087,145705.27,179117.66,7.12
77345,359153.68,440876.51,7.07
77005,1365702.82,1673254.92,7.0
77067,173080.03,211199.83,6.86
77017,154592.55,188580.31,6.85
77072,168466.38,204903.27,6.74
77099,179813.76,218698.88,6.74
77080,298453.59,362614.31,6.71
77064,233411.94,283504.17,6.7
77083,221677.68,269085.06,6.67
77597,391394.0,475000.0,6.67
77040,232784.14,281937.5,6.59
77047,195696.94,237002.74,6.59
77042,495525.23,598825.12,6.52
77373,208743.46,252207.27,6.51
77429,337936.53,408246.2,6.5
77021,205889.94,248521.49,6.47
77075,208604.79,251683.01,6.46
77019,1497748.05,1806465.21,6.45
77024,1581671.56,1906204.07,6.42
77336,298504.45,359159.05,6.36
77055,627999.51,754440.5,6.31
77041,292150.02,350875.73,6.3
77530,170593.07,204869.54,6.29
77532,232122.23,278749.76,6.29
77009,410046.97,492096.72,6.27
77546,278970.76,334167.32,6.2
77014,206753.09,247453.38,6.17
77066,200676.23,240064.05,6.16
77043,320486.21,383070.91,6.13
77008,575154.55,687194.54,6.11
77065,250940.91,299792.71,6.11
77401,915610.02,1094022.61,6.11
77089,239379.92,285936.36,6.1
77084,230781.36,275114.2,6.03
77095,276837.25,329997.13,6.03
77379,328285.54,391010.58,6.0
77396,243132.22,289263.01,5.96
77030,889206.67,1056291.28,5.91
77023,230818.03,274099.3,5.9
77502,166046.2,196859.23,5.84
77015,166664.94,197345.62,5.79
77068,295591.91,349779.03,5.77
77388,260364.17,307914.95,5.75
77449,230284.4,272374.57,5.75
77027,1283160.29,1515601.46,5.71
77477,189277.24,223441.81,5.69
77505,269079.9,317716.03,5.69
77049,203919.4,240692.41,5.68
77493,295862.89,349175.3,5.68
77082,293372.23,345833.45,5.64
77034,184344.37,217112.64,5.61
77025,581168.09,683381.85,5.55
77070,259364.22,305009.01,5.55
77036,225964.1,265400.89,5.51
77044,264237.87,310330.58,5.51
77090,228214.35,268017.64,5.51
77501,305033.0,358273.0,5.51
77059,412908.72,484559.77,5.48
77504,231894.15,271818.28,5.44
77077,388461.11,453725.74,5.31
,305621.77,356624.07,5.28
77074,199400.67,232609.97,5.27
77338,200936.75,234079.01,5.22
77069,324354.73,377787.22,5.21
77003,318824.83,371162.38,5.2
77346,287847.24,334998.07,5.19
77536,240839.89,280282.17,5.19
77006,645308.86,750427.62,5.16
77073,200137.0,232697.29,5.15
77521,215579.43,250433.07,5.12
77004,327696.03,380592.59,5.11
77484,272580.45,315642.69,5.01
77096,411098.76,475653.87,4.98
77007,538694.84,622799.09,4.95
77586,355856.38,410527.65,4.88
77061,203825.38,234011.19,4.71
77571,230272.16,264286.78,4.7
77447,274690.98,314968.87,4.67
77058,302869.7,346944.72,4.63
77092,255849.37,292840.81,4.6
77062,291412.43,333381.53,4.59
77054,296009.64,338241.38,4.55
77098,811071.41,921282.77,4.34
77035,244925.3,277878.52,4.3
77081,417604.9,471732.25,4.15
77057,768086.17,861102.19,3.88
77063,472348.4,527898.64,3.78
77056,1270541.08,1407363.01,3.47
77365,379078.12,412736.26,2.88
77523,244519.0,264122.5,2.6
77002,435527.35,463624.9,2.11
77251,292195.95,301611.52,1.06
