zip_code,val_2022,val_2025,cagr_pct,tier
77535,136921.86,224928.71,17.99,Top 10
77357,186815.79,290642.12,15.87,Top 10
77028,103695.34,149531.66,12.98,Top 10
77026,110624.71,153882.88,11.63,Top 10
77093,123345.28,167631.01,10.77,Top 10
77039,142033.25,191718.62,10.52,Top 10
77091,190273.47,256724.93,10.5,Top 10
77011,157530.34,211272.19,10.28,Top 10
77053,145532.0,194429.38,10.14,Top 10
77016,116370.44,154923.41,10.01,Top 10
77098,811071.41,921282.77,4.34,Bottom 10
77035,244925.3,277878.52,4.3,Bottom 10
77081,417604.9,471732.25,4.15,Bottom 10
77057,768086.17,861102.19,3.88,Bottom 10
77063,472348.4,527898.64,3.78,Bottom 10
77056,1270541.08,1407363.01,3.47,Bottom 10
77365,379078.12,412736.26,2.88,Bottom 10
77523,244519.0,264122.5,2.6,Bottom 10
77002,435527.35,463624.9,2.11,Bottom 10
77251,292195.95,301611.52,1.06,Bottom 10
