zip_code,yr,avg_appr_val,yoy_change_pct
77002,2023,452689.95,3.94
77002,2024,458130.15,1.2
77002,2025,463624.9,1.2
77003,2023,353926.86,11.01
77003,2024,360424.23,1.84
77003,2025,371162.38,2.98
77004,2023,359624.37,9.74
77004,2024,371294.15,3.24
77004,2025,380592.59,2.5
77005,2023,1495071.2,9.47
77005,2024,1576823.17,5.47
77005,2025,1673254.92,6.12
77006,2023,705878.34,9.39
77006,2024,715169.65,1.32
77006,2025,750427.62,4.93
77007,2023,586750.65,8.92
77007,2024,603063.45,2.78
77007,2025,622799.09,3.27
77008,2023,632511.48,9.97
77008,2024,661556.88,4.59
77008,2025,687194.54,3.88
77009,2023,455545.96,11.1
77009,2024,477151.99,4.74
77009,2025,492096.72,3.13
77011,2023,184894.65,17.37
77011,2024,197861.6,7.01
77011,2025,211272.19,6.78
77012,2023,149188.24,15.09
77012,2024,159499.35,6.91
77012,2025,170677.71,7.01
77013,2023,160587.67,11.32
77013,2024,171927.09,7.06
77013,2025,180015.36,4.7
77014,2023,228291.85,10.42
77014,2024,240510.0,5.35
77014,2025,247453.38,2.89
77015,2023,188243.41,12.95
77015,2024,194031.94,3.08
77015,2025,197345.62,1.71
77016,2023,137134.2,17.84
77016,2024,144660.8,5.49
77016,2025,154923.41,7.09
77017,2023,171203.48,10.74
77017,2024,178737.4,4.4
77017,2025,188580.31,5.51
77018,2023,557248.4,10.11
77018,2024,602880.16,8.19
77018,2025,622210.16,3.21
77019,2023,1629187.72,8.78
77019,2024,1693376.13,3.94
77019,2025,1806465.21,6.68
77020,2023,179710.52,17.0
77020,2024,189174.35,5.27
77020,2025,194673.94,2.91
77021,2023,230293.83,11.85
77021,2024,240690.11,4.51
77021,2025,248521.49,3.25
77022,2023,193842.75,14.82
77022,2024,209937.24,8.3
77022,2025,222997.9,6.22
77023,2023,257704.25,11.65
77023,2024,266255.17,3.32
77023,2025,274099.3,2.95
77024,2023,1696376.4,7.25
77024,2024,1764516.38,4.02
77024,2025,1906204.07,8.03
77025,2023,628876.15,8.21
77025,2024,654063.92,4.01
77025,2025,683381.85,4.48
77026,2023,134590.66,21.66
77026,2024,144997.15,7.73
77026,2025,153882.88,6.13
77027,2023,1382311.91,7.73
77027,2024,1429163.77,3.39
77027,2025,1515601.46,6.05
77028,2023,126347.76,21.85
77028,2024,139702.84,10.57
77028,2025,149531.66,7.04
77029,2023,125328.28,14.03
77029,2024,135180.73,7.86
77029,2025,143150.64,5.9
77030,2023,955129.27,7.41
77030,2024,1004268.56,5.14
77030,2025,1056291.28,5.18
77031,2023,244572.21,12.57
77031,2024,262357.27,7.27
77031,2025,272695.86,3.94
77032,2023,149480.1,19.39
77032,2024,160089.81,7.1
77032,2025,166557.49,4.04
77033,2023,126382.36,15.46
77033,2024,131360.91,3.94
77033,2025,136943.3,4.25
77034,2023,205427.86,11.44
77034,2024,213721.8,4.04
77034,2025,217112.64,1.59
77035,2023,266914.05,8.98
77035,2024,271760.36,1.82
77035,2025,277878.52,2.25
77036,2023,250484.02,10.85
77036,2024,255349.14,1.94
77036,2025,265400.89,3.94
77037,2023,178802.38,18.07
77037,2024,187546.68,4.89
77037,2025,197245.71,5.17
77038,2023,206461.46,16.17
77038,2024,214896.93,4.09
77038,2025,222921.41,3.73
77039,2023,171249.49,20.57
77039,2024,182540.58,6.59
77039,2025,191718.62,5.03
77040,2023,258438.39,11.02
77040,2024,274616.14,6.26
77040,2025,281937.5,2.67
77041,2023,322525.64,10.4
77041,2024,344532.33,6.82
77041,2025,350875.73,1.84
77042,2023,536497.65,8.27
77042,2024,561145.66,4.59
77042,2025,598825.12,6.71
77043,2023,355145.93,10.81
77043,2024,365501.23,2.92
77043,2025,383070.91,4.81
77044,2023,293611.97,11.12
77044,2024,306906.36,4.53
77044,2025,310330.58,1.12
77045,2023,179623.18,14.69
77045,2024,188692.29,5.05
77045,2025,196050.44,3.9
77047,2023,223845.63,14.38
77047,2024,233287.58,4.22
77047,2025,237002.74,1.59
77048,2023,189061.71,16.45
77048,2024,195310.03,3.3
77048,2025,200441.81,2.63
77049,2023,229297.94,12.45
77049,2024,235766.39,2.82
77049,2025,240692.41,2.09
77050,2023,160893.84,19.02
77050,2024,170241.42,5.81
77050,2025,174189.14,2.32
77051,2023,166888.12,16.44
77051,2024,180810.41,8.34
77051,2025,185939.99,2.84
77053,2023,172396.44,18.46
77053,2024,183866.38,6.65
77053,2025,194429.38,5.74
77054,2023,332832.74,12.44
77054,2024,337892.52,1.52
77054,2025,338241.38,0.1
77055,2023,682975.93,8.75
77055,2024,711638.34,4.2
77055,2025,754440.5,6.01
77056,2023,1324035.93,4.21
77056,2024,1322655.18,-0.1
77056,2025,1407363.01,6.4
77057,2023,798908.92,4.01
77057,2024,805298.69,0.8
77057,2025,861102.19,6.93
77058,2023,333406.6,10.08
77058,2024,334997.61,0.48
77058,2025,346944.72,3.57
77059,2023,452981.72,9.71
77059,2024,466864.85,3.06
77059,2025,484559.77,3.79
77060,2023,177934.67,16.75
77060,2024,188552.99,5.97
77060,2025,195134.37,3.49
77061,2023,227433.87,11.58
77061,2024,233045.07,2.47
77061,2025,234011.19,0.41
77062,2023,320546.45,10.0
77062,2024,325156.22,1.44
77062,2025,333381.53,2.53
77063,2023,505583.95,7.04
77063,2024,511329.46,1.14
77063,2025,527898.64,3.24
77064,2023,259174.16,11.04
77064,2024,269761.71,4.09
77064,2025,283504.17,5.09
77065,2023,277556.59,10.61
77065,2024,293520.03,5.75
77065,2025,299792.71,2.14
77066,2023,225190.53,12.22
77066,2024,233353.63,3.62
77066,2025,240064.05,2.88
77067,2023,193107.74,11.57
77067,2024,202282.64,4.75
77067,2025,211199.83,4.41
77068,2023,326942.74,10.61
77068,2024,347916.58,6.42
77068,2025,349779.03,0.54
77069,2023,358212.59,10.44
77069,2024,376296.0,5.05
77069,2025,377787.22,0.4
77070,2023,286915.89,10.62
77070,2024,298289.29,3.96
77070,2025,305009.01,2.25
77071,2023,248552.02,12.92
77071,2024,268095.65,7.86
77071,2025,275911.0,2.92
77072,2023,188309.21,11.78
77072,2024,198961.54,5.66
77072,2025,204903.27,2.99
77073,2023,221901.26,10.87
77073,2024,228828.93,3.12
77073,2025,232697.29,1.69
77074,2023,221018.58,10.84
77074,2024,228531.06,3.4
77074,2025,232609.97,1.78
77075,2023,232668.9,11.54
77075,2024,245048.31,5.32
77075,2025,251683.01,2.71
