zip_code,yr,avg_appr_val,property_count
,2022,305621.77,190
,2023,336713.07,199
,2024,355645.7,198
,2025,356624.07,192
77002,2022,435527.35,91
77002,2023,452689.95,91
77002,2024,458130.15,91
77002,2025,463624.9,93
77003,2022,318824.83,3283
77003,2023,353926.86,3320
77003,2024,360424.23,3376
77003,2025,371162.38,3419
77004,2022,327696.03,6546
77004,2023,359624.37,6699
77004,2024,371294.15,6808
77004,2025,380592.59,6935
77005,2022,1365702.82,7475
77005,2023,1495071.2,7469
77005,2024,1576823.17,7482
77005,2025,1673254.92,7473
77006,2022,645308.86,4791
77006,2023,705878.34,4807
77006,2024,715169.65,4809
77006,2025,750427.62,4833
77007,2022,538694.84,13445
77007,2023,586750.65,13571
77007,2024,603063.45,13640
77007,2025,622799.09,13699
77008,2022,575154.55,13343
77008,2023,632511.48,13548
77008,2024,661556.88,13780
77008,2025,687194.54,13899
77009,2022,410046.97,11155
77009,2023,455545.96,11354
77009,2024,477151.99,11458
77009,2025,492096.72,11554
77011,2022,157530.34,3604
77011,2023,184894.65,3629
77011,2024,197861.6,3652
77011,2025,211272.19,3677
77012,2022,129624.23,3317
77012,2023,149188.24,3314
77012,2024,159499.35,3311
77012,2025,170677.71,3316
77013,2022,144256.19,2583
77013,2023,160587.67,2577
77013,2024,171927.09,2580
77013,2025,180015.36,2573
77014,2022,206753.09,6186
77014,2023,228291.85,6240
77014,2024,240510.0,6396
77014,2025,247453.38,6426
77015,2022,166664.94,10492
77015,2023,188243.41,10500
77015,2024,194031.94,10501
77015,2025,197345.62,10505
77016,2022,116370.44,9388
77016,2023,137134.2,9527
77016,2024,144660.8,9768
77016,2025,154923.41,10094
77017,2022,154592.55,6312
77017,2023,171203.48,6309
77017,2024,178737.4,6308
77017,2025,188580.31,6313
77018,2022,506069.68,10349
77018,2023,557248.4,10642
77018,2024,602880.16,10857
77018,2025,622210.16,11032
77019,2022,1497748.05,5229
77019,2023,1629187.72,5260
77019,2024,1693376.13,5284
77019,2025,1806465.21,5291
77020,2022,153593.22,6754
77020,2023,179710.52,6924
77020,2024,189174.35,7006
77020,2025,194673.94,7083
77021,2022,205889.94,7032
77021,2023,230293.83,7178
77021,2024,240690.11,7321
77021,2025,248521.49,7524
77022,2022,168829.84,6539
77022,2023,193842.75,6702
77022,2024,209937.24,6753
77022,2025,222997.9,6806
77023,2022,230818.03,5673
77023,2023,257704.25,5725
77023,2024,266255.17,5749
77023,2025,274099.3,5757
77024,2022,1581671.56,9326
77024,2023,1696376.4,9348
77024,2024,1764516.38,9383
77024,2025,1906204.07,9393
77025,2022,581168.09,6461
77025,2023,628876.15,6510
77025,2024,654063.92,6544
77025,2025,683381.85,6532
77026,2022,110624.71,6105
77026,2023,134590.66,6159
77026,2024,144997.15,6197
77026,2025,153882.88,6272
77027,2022,1283160.29,2546
77027,2023,1382311.91,2544
77027,2024,1429163.77,2563
77027,2025,1515601.46,2566
77028,2022,103695.34,5892
77028,2023,126347.76,6072
77028,2024,139702.84,6226
77028,2025,149531.66,6308
77029,2022,109908.45,5191
77029,2023,125328.28,5274
77029,2024,135180.73,5302
77029,2025,143150.64,5302
77030,2022,889206.67,1748
77030,2023,955129.27,1746
77030,2024,1004268.56,1753
77030,2025,1056291.28,1756
77031,2022,217262.9,2911
77031,2023,244572.21,2910
77031,2024,262357.27,2908
77031,2025,272695.86,2906
77032,2022,125202.72,1613
77032,2023,149480.1,1611
77032,2024,160089.81,1607
77032,2025,166557.49,1626
77033,2022,109456.72,8814
77033,2023,126382.36,8840
77033,2024,131360.91,8829
77033,2025,136943.3,8834
77034,2022,184344.37,6997
77034,2023,205427.86,7021
77034,2024,213721.8,7100
77034,2025,217112.64,7108
77035,2022,244925.3,7035
77035,2023,266914.05,7039
77035,2024,271760.36,7037
77035,2025,277878.52,7041
77036,2022,225964.1,5082
77036,2023,250484.02,5082
77036,2024,255349.14,5082
77036,2025,265400.89,5083
77037,2022,151443.97,3585
77037,2023,178802.38,3586
77037,2024,187546.68,3578
77037,2025,197245.71,3573
77038,2022,177725.56,5795
77038,2023,206461.46,5653
77038,2024,214896.93,5623
77038,2025,222921.41,5634
77039,2022,142033.25,5385
77039,2023,171249.49,5330
77039,2024,182540.58,5299
77039,2025,191718.62,5283
77040,2022,232784.14,11063
77040,2023,258438.39,11064
77040,2024,274616.14,11059
77040,2025,281937.5,11058
77041,2022,292150.02,9779
77041,2023,322525.64,9796
77041,2024,344532.33,9806
77041,2025,350875.73,9808
77042,2022,495525.23,4176
77042,2023,536497.65,4180
77042,2024,561145.66,4185
77042,2025,598825.12,4187
77043,2022,320486.21,6562
77043,2023,355145.93,6637
77043,2024,365501.23,6706
77043,2025,383070.91,6727
77044,2022,264237.87,14696
77044,2023,293611.97,14840
77044,2024,306906.36,15267
77044,2025,310330.58,15589
77045,2022,156615.41,9086
77045,2023,179623.18,9205
77045,2024,188692.29,9154
77045,2025,196050.44,9206
77047,2022,195696.94,9400
77047,2023,223845.63,9618
77047,2024,233287.58,9823
77047,2025,237002.74,10272
77048,2022,162349.96,5918
77048,2023,189061.71,6094
77048,2024,195310.03,6314
77048,2025,200441.81,6478
77049,2022,203919.4,9074
77049,2023,229297.94,9224
77049,2024,235766.39,9314
77049,2025,240692.41,9388
77050,2022,135178.33,935
77050,2023,160893.84,937
77050,2024,170241.42,938
77050,2025,174189.14,936
77051,2022,143321.09,4736
77051,2023,166888.12,4826
77051,2024,180810.41,5015
77051,2025,185939.99,5151
77053,2022,145532.0,3415
77053,2023,172396.44,3458
77053,2024,183866.38,3519
77053,2025,194429.38,3591
77054,2022,296009.64,739
77054,2023,332832.74,820
77054,2024,337892.52,852
77054,2025,338241.38,879
77055,2022,627999.51,8959
77055,2023,682975.93,9260
77055,2024,711638.34,9459
77055,2025,754440.5,9643
77056,2022,1270541.08,3390
77056,2023,1324035.93,3400
77056,2024,1322655.18,3411
77056,2025,1407363.01,3410
77057,2022,768086.17,4352
77057,2023,798908.92,4394
77057,2024,805298.69,4464
77057,2025,861102.19,4459
77058,2022,302869.7,2735
77058,2023,333406.6,2737
77058,2024,334997.61,2743
77058,2025,346944.72,2746
77059,2022,412908.72,6507
77059,2023,452981.72,6511
77059,2024,466864.85,6510
77059,2025,484559.77,6508
77060,2022,152411.15,3591
77060,2023,177934.67,3591
77060,2024,188552.99,3591
77060,2025,195134.37,3591
77061,2022,203825.38,3623
77061,2023,227433.87,3615
77061,2024,233045.07,3619
77061,2025,234011.19,3620
77062,2022,291412.43,8156
77062,2023,320546.45,8155
77062,2024,325156.22,8155
77062,2025,333381.53,8156
77063,2022,472348.4,3303
77063,2023,505583.95,3334
77063,2024,511329.46,3435
77063,2025,527898.64,3579
77064,2022,233411.94,11620
77064,2023,259174.16,11614
77064,2024,269761.71,11617
77064,2025,283504.17,11613
77065,2022,250940.91,7853
77065,2023,277556.59,7852
77065,2024,293520.03,7856
77065,2025,299792.71,7854
77066,2022,200676.23,9320
77066,2023,225190.53,9392
77066,2024,233353.63,9457
77066,2025,240064.05,9498
77067,2022,173080.03,5367
77067,2023,193107.74,5380
77067,2024,202282.64,5533
77067,2025,211199.83,5613
77068,2022,295591.91,3452
77068,2023,326942.74,3637
77068,2024,347916.58,3664
77068,2025,349779.03,3666
77069,2022,324354.73,5110
77069,2023,358212.59,5141
77069,2024,376296.0,5148
77069,2025,377787.22,5149
77070,2022,259364.22,11954
77070,2023,286915.89,11955
77070,2024,298289.29,11954
77070,2025,305009.01,11954
77071,2022,220118.91,5989
77071,2023,248552.02,5994
77071,2024,268095.65,6020
77071,2025,275911.0,6050
77072,2022,168466.38,10932
77072,2023,188309.21,10930
77072,2024,198961.54,10947
77072,2025,204903.27,10967
77073,2022,200137.0,10275
77073,2023,221901.26,10549
77073,2024,228828.93,10703
77073,2025,232697.29,10810
77074,2022,199400.67,5343
77074,2023,221018.58,5343
77074,2024,228531.06,5344
77074,2025,232609.97,5342
77075,2022,208604.79,8497
77075,2023,232668.9,8732
77075,2024,245048.31,8845
77075,2025,251683.01,8897
77076,2022,144778.21,6120
77076,2023,169001.06,6153
77076,2024,180809.44,6201
77076,2025,188819.67,6307
77077,2022,388461.11,11249
77077,2023,426346.46,11265
77077,2024,440752.34,11274
77077,2025,453725.74,11300
77078,2022,109555.13,4040
77078,2023,130455.64,4062
77078,2024,138432.07,4095
77078,2025,145508.87,4148
77079,2022,623100.67,8173
77079,2023,690364.11,8211
77079,2024,739964.92,8217
77079,2025,783699.39,8263
77080,2022,298453.59,8408
77080,2023,330969.97,8707
77080,2024,343328.44,8898
77080,2025,362614.31,9265
77081,2022,417604.9,999
77081,2023,451842.99,1007
77081,2024,452754.75,1007
77081,2025,471732.25,1009
77082,2022,293372.23,10014
77082,2023,326489.66,10034
77082,2024,337490.65,10106
77082,2025,345833.45,10199
77083,2022,221677.68,9250
77083,2023,248049.79,9261
77083,2024,260839.39,9261
77083,2025,269085.06,9278
77084,2022,230781.36,26849
77084,2023,257515.25,27006
77084,2024,268888.42,27050
77084,2025,275114.2,27235
77085,2022,183006.34,4080
77085,2023,203303.01,4085
77085,2024,217009.49,4091
77085,2025,227174.77,4100
77086,2022,182392.51,5764
77086,2023,203878.67,5754
77086,2024,214844.16,5740
77086,2025,225585.32,5733
77087,2022,145705.27,7603
77087,2023,163177.81,7610
77087,2024,170108.7,7604
77087,2025,179117.66,7600
77088,2022,161289.69,14159
77088,2023,183163.32,14275
77088,2024,193594.02,14436
77088,2025,204675.99,14476
77089,2022,239379.92,15165
77089,2023,266520.1,15274
77089,2024,278138.98,15307
77089,2025,285936.36,15309
77090,2022,228214.35,4626
77090,2023,254379.19,4696
77090,2024,263767.64,4725
77090,2025,268017.64,4910
77091,2022,190273.47,5711
77091,2023,223285.39,6267
77091,2024,244640.22,6689
77091,2025,256724.93,7110
77092,2022,255849.37,5987
77092,2023,279192.66,6020
77092,2024,286016.82,6047
77092,2025,292840.81,6090
77093,2022,123345.28,9467
77093,2023,146774.54,9481
77093,2024,155871.8,9505
77093,2025,167631.01,9513
77094,2022,501218.37,3070
77094,2023,551724.91,3071
77094,2024,582136.81,3073
77094,2025,617532.58,3074
77095,2022,276837.25,19990
77095,2023,307027.07,19992
77095,2024,323464.11,19993
77095,2025,329997.13,19994
77096,2022,411098.76,7905
77096,2023,448574.64,7925
77096,2024,462500.51,7928
77096,2025,475653.87,7946
77098,2022,811071.41,2239
77098,2023,885042.69,2235
77098,2024,883963.55,2402
77098,2025,921282.77,2406
77099,2022,179813.76,7696
77099,2023,201781.75,7697
77099,2024,212903.85,7696
77099,2025,218698.88,7695
77251,2022,292195.95,84
77251,2023,318768.96,83
77251,2024,302834.89,70
77251,2025,301611.52,69
77336,2022,298504.45,4233
77336,2023,337962.56,4283
77336,2024,354134.85,4382
77336,2025,359159.05,4567
77338,2022,200936.75,10301
77338,2023,225835.75,10371
77338,2024,231524.88,10522
77338,2025,234079.01,10735
77339,2022,271970.18,10501
77339,2023,301550.84,10504
77339,2024,321709.69,10505
77339,2025,334688.5,10506
77345,2022,359153.68,8886
